firm_name,content,raw_content,timestamp,thread_url,value_score,is_announcement,words,unique_words,reasons
Clayton Utz,"Is this correct: No progression yet A&O Shearman Allens Ashurst, Barry Nilsson, Bird &Bird, Clayton Utz Gadens K&L Gates, KWM, Maddocks, McIntyre Legal, MinterEllison, Morgan + English, Harmers, HWL Ebsworth
First round candidates informed Corrs Chambers Westgarth, DLA Piper, Gilbert + Tobin, Hall + Wilcox, HSFK, HFW, Johnson Winter Slattery, Jones Day Baker McKenzie, Norton Rose Fullbright, Thomson Geer","Is this correct: No progression yet A&O Shearman Allens Ashurst, Barry Nilsson, Bird &Bird, Clayton Utz Gadens K&L Gates, KWM, Maddocks, McIntyre Legal, MinterEllison, Morgan + English, Harmers, HWL Ebsworth
First round candidates informed Corrs Chambers Westgarth, DLA Piper, Gilbert + Tobin, Hall + Wilcox, HSFK, HFW, Johnson Winter Slattery, Jones Day Baker McKenzie, Norton Rose Fullbright, Thomson Geer",posted 2025-Jul-23,https://forums.whirlpool.net.au/thread/3246kzy8,0.755,False,58,57,
Clayton Utz,I am a final year and have received no rejection/acceptance emails from: - Clutz - Ashurst - Gadens - HFW - Clifford Chance - Minter - McCollough Robertson - DLA Piper - HWL Ebsworth - Davies Collison Cave,I am a final year and have received no rejection/acceptance emails from: - Clutz - Ashurst - Gadens - HFW - Clifford Chance - Minter - McCollough Robertson - DLA Piper - HWL Ebsworth - Davies Collison Cave,posted 2024-Jul-26,https://forums.whirlpool.net.au/thread/3qr18x54,0.862,False,29,29,
Clayton Utz,last yr applications for clutz closed on the 9th and interview offers were made on the 27th its def one of the last firms to send out interview offers – but iirc they only send out offers and rejections come through much much later,last yr applications for clutz closed on the 9th and interview offers were made on the 27th its def one of the last firms to send out interview offers – but iirc they only send out offers and rejections come through much much later,posted 2024-Aug-1,https://forums.whirlpool.net.au/thread/3qr18x54,0.897,False,43,32,
Clayton Utz,"I received a progression email from Clayton Utz around 3:00pm on Thursday. I haven't heard back from Minters regarding the status of my application post-video interview (not optimistic though – performance was subpar).
I work at Clyde & Co and haven't heard anything re progressions.","I received a progression email from Clayton Utz around 3:00pm on Thursday. I haven't heard back from Minters regarding the status of my application post-video interview (not optimistic though – performance was subpar).
I work at Clyde & Co and haven't heard anything re progressions.",posted 2024-Aug-3,https://forums.whirlpool.net.au/thread/3qr18x54,1.000,False,47,41,
Clayton Utz,"+ DLA Piper Interview + Minters VI - Hall & Wilcox - Gadens - KWM - Ashurst
Haven't heard from: HSF Carter Newell Hamilton Locke Clayton Utz Allens","+ DLA Piper Interview + Minters VI - Hall & Wilcox - Gadens - KWM - Ashurst
Haven't heard from: HSF Carter Newell Hamilton Locke Clayton Utz Allens",posted 2024-Aug-27,https://forums.whirlpool.net.au/thread/974pvz5v,0.740,False,22,22,
Clayton Utz,"2024 yes I just got the preference email for Allen’s going to pick summer :)
Also to the other person asking about Clayton Utz I just got my interviewers names and I don’t think the partner is from a practice area I expressed interest in.","@lawclerk-2024 yes I just got the preference email for Allen’s going to pick summer :)
Also to the other person asking about Clayton Utz I just got my interviewers names and I don’t think the partner is from a practice area I expressed interest in.",posted 2024-Sep-17,https://forums.whirlpool.net.au/thread/974pvz5v,1.000,False,46,38,
Clayton Utz,"Thanks! Must be a positive sign, congrats -2024
Just really felt the interview was too short to discuss anything really.
Also Clutz generally sends out the offer email before the call on offer day, praying my email inbox won’t fail me.","Thanks! Must be a positive sign, congrats @lawclerk-2024
Just really felt the interview was too short to discuss anything really.
Also Clutz generally sends out the offer email before the call on offer day, praying my email inbox won’t fail me.",posted 2024-Oct-3,https://forums.whirlpool.net.au/thread/974pvz5v,0.915,False,42,37,
Clayton Utz,"I also got this email on Monday from the Partner who interviewed me. I had coffee yesterday with the Partner for about an hour and they just spoke about their team a bit more and the activities Clayton Utz does such as soccer teams etc. it was very relaxed. I asked my buddy about it and they said that it’s a new method they are trialling this year for clerks they potentially definitely want. My buddy said that there are 4 categories- clerks they definitely want, potentially want, maybe and no. Not sure how reliable that information is though","I also got this email on Monday from the Partner who interviewed me. I had coffee yesterday with the Partner for about an hour and they just spoke about their team a bit more and the activities Clayton Utz does such as soccer teams etc. it was very relaxed. I asked my buddy about it and they said that it’s a new method they are trialling this year for clerks they potentially definitely want. My buddy said that there are 4 categories- clerks they definitely want, potentially want, maybe and no. Not sure how reliable that information is though",posted 2024-Oct-3,https://forums.whirlpool.net.au/thread/974pvz5v,0.930,False,100,70,
Clayton Utz,"So interesting! Def positive tho, however really unsure what Clutz is doing…
Few ppl got emails interviewed on 23 Sep. Unsure if I will even be considered if I interviewed this week.","So interesting! Def positive tho, however really unsure what Clutz is doing…
Few ppl got emails interviewed on 23 Sep. Unsure if I will even be considered if I interviewed this week.",posted 2024-Oct-4,https://forums.whirlpool.net.au/thread/974pvz5v,0.910,False,32,28,
Clayton Utz,"The interview ended on Wednesday this week, I am really unsure what Clutz is doing. Seems like majority of ppl who got the email interviewed around 23 sep.
Clearly Clutz would want to be the hot pick for this year tho","The interview ended on Wednesday this week, I am really unsure what Clutz is doing. Seems like majority of ppl who got the email interviewed around 23 sep.
Clearly Clutz would want to be the hot pick for this year tho",posted 2024-Oct-4,https://forums.whirlpool.net.au/thread/974pvz5v,0.932,False,41,37,
